from,to,n
Bronx County,Bronx County,238666
Bronx County,New York County,204163
Bronx County,Kings County,21945
Bronx County,Richmond County,981
Bronx County,Queens County,25193
Bronx County,out,57013
New York County,Bronx County,28865
New York County,New York County,730763
New York County,Kings County,27938
New York County,Richmond County,1175
New York County,Queens County,22256
New York County,out,56301
Kings County,Bronx County,13829
Kings County,New York County,429343
Kings County,Kings County,574794
Kings County,Richmond County,6097
Kings County,Queens County,70937
Kings County,out,47200
Richmond County,Bronx County,1049
Richmond County,New York County,48783
Richmond County,Kings County,27763
Richmond County,Richmond County,106030
Richmond County,Queens County,5973
Richmond County,out,16324
Queens County,Bronx County,22300
Queens County,New York County,384517
Queens County,Kings County,89969
Queens County,Richmond County,2576
Queens County,Queens County,457148
Queens County,out,120244
